event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
3148,M,2015,254.0228494623656,15021.313317797607,3.6676274990721445,Wenatchee
3148,M,2016,257.67614379084966,15021.313317797607,7.320921827556231,Wenatchee
3148,M,2017,250.67272727272726,15021.313317797607,0.31750530943381816,Wenatchee
3148,M,2018,254.26000000000002,15021.313317797607,3.904778036706557,Wenatchee
3148,M,2019,257.94751773049643,15021.313317797607,7.592295767202995,Wenatchee
3162,F,2002,265.85942028985505,16682.394199092807,-12.180483028358383,Whidbey Island
3162,F,2003,276.24513888888885,16682.394199092807,-1.7947644293245806,Whidbey Island
3162,F,2004,273.9527777777778,16682.394199092807,-4.087125540435651,Whidbey Island
3162,F,2005,274.01914414414415,16682.394199092807,-4.020759174069281,Whidbey Island
3162,F,2006,282.3331790123457,16682.394199092807,4.293275694132232,Whidbey Island
3162,F,2007,276.9361728395062,16682.394199092807,-1.103730478707257,Whidbey Island
3162,F,2008,273.36409465020574,16682.394199092807,-4.675808668007691,Whidbey Island
3162,F,2009,279.021884057971,16682.394199092807,0.9819807397575763,Whidbey Island
3162,F,2010,282.00767973856205,16682.394199092807,3.9677764203486126,Whidbey Island
3162,F,2011,273.01784037558684,16682.394199092807,-5.022062942626599,Whidbey Island
3162,F,2012,273.90240740740745,16682.394199092807,-4.137495910806016,Whidbey Island
3162,F,2013,278.42083333333335,16682.394199092807,0.38093001511988406,Whidbey Island
3162,F,2014,284.074126984127,16682.394199092807,6.034223665913547,Whidbey Island
3162,F,2015,277.4546511627907,16682.394199092807,-0.5852521554227376,Whidbey Island
3162,F,2016,285.7213333333333,16682.394199092807,7.681430015119864,Whidbey Island
3162,F,2017,288.8718390804598,16682.394199092807,10.831935762246333,Whidbey Island
3162,F,2018,281.4758333333333,16682.394199092807,3.435930015119872,Whidbey Island
3162,M,2002,241.6968992248062,15212.906685095119,-11.851545526779107,Whidbey Island
3162,M,2003,250.77277777777778,15212.906685095119,-2.775666973807529,Whidbey Island
3162,M,2004,258.8932795698925,15212.906685095119,5.344834818307178,Whidbey Island
3162,M,2005,248.1967365967366,15212.906685095119,-5.351708154848711,Whidbey Island
3162,M,2006,255.96780303030303,15212.906685095119,2.4193582787177244,Whidbey Island
