,year,gender,lat,lon,event,region,state,postal,freq,event_name
93,2014,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,73,Ann Arbor
94,2014,F,47.6062095,-122.3320708,11074,West,Washington,WA,608,Seattle
95,2014,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,95,Walter Childs Memorial Race Of Champions
96,2014,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,173,Ann Arbor
97,2014,M,47.6062095,-122.3320708,11074,West,Washington,WA,1109,Seattle
98,2015,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,47,Walter Childs Memorial Race Of Champions
99,2015,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,100,Ann Arbor
100,2015,F,47.6062095,-122.3320708,11074,West,Washington,WA,582,Seattle
101,2015,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,61,Walter Childs Memorial Race Of Champions
102,2015,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,207,Ann Arbor
103,2015,M,47.6062095,-122.3320708,11074,West,Washington,WA,1000,Seattle
104,2016,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,52,Walter Childs Memorial Race Of Champions
105,2016,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,136,Ann Arbor
106,2016,F,47.6062095,-122.3320708,11074,West,Washington,WA,522,Seattle
107,2016,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,55,Walter Childs Memorial Race Of Champions
108,2016,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,200,Ann Arbor
109,2016,M,47.6062095,-122.3320708,11074,West,Washington,WA,841,Seattle
110,2017,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,40,Walter Childs Memorial Race Of Champions
111,2017,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,115,Ann Arbor
112,2017,F,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,509,Buffalo
113,2017,F,47.6062095,-122.3320708,11074,West,Washington,WA,472,Seattle
114,2017,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,63,Walter Childs Memorial Race Of Champions
115,2017,M,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,192,Ann Arbor
116,2017,M,42.88644679999999,-78.8783689,118259,Northeast,New York,NY,633,Buffalo
117,2017,M,47.6062095,-122.3320708,11074,West,Washington,WA,840,Seattle
118,2018,F,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,27,Walter Childs Memorial Race Of Champions
119,2018,F,42.2808256,-83.7430378,106046,Midwest,Michigan,MI,81,Ann Arbor
120,2018,F,47.6062095,-122.3320708,11074,West,Washington,WA,441,Seattle
121,2018,M,42.2042586,-72.6162009,11167,Northeast,Massachusetts,MA,38,Walter Childs Memorial Race Of Champions
