prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[14595.0, 18045.0)",16.337948626487986,96107,1996,M,4.533333333333333,49.02675258726208,-32.688803960774095,Chicago
"[14595.0, 18045.0)",17.703435389803555,96107,1997,M,4.533333333333333,49.02675258726208,-31.323317197458525,Chicago
"[14595.0, 18045.0)",32.70164745684225,96107,1998,M,4.533333333333333,49.02675258726208,-16.32510513041983,Chicago
"[14595.0, 18045.0)",26.637985980084455,96107,1999,M,4.533333333333333,49.02675258726208,-22.388766607177626,Chicago
"[14595.0, 18045.0)",38.46596471400122,96107,2000,M,4.533333333333333,49.02675258726208,-10.560787873260864,Chicago
"[14595.0, 18045.0)",32.8051622146427,96107,2002,M,4.533333333333333,49.02675258726208,-16.22159037261938,Chicago
"[14595.0, 18045.0)",49.327600542821145,96107,2003,M,4.533333333333333,49.02675258726208,0.30084795555906396,Chicago
"[14595.0, 18045.0)",48.53169214411383,96107,2005,M,4.533333333333333,49.02675258726208,-0.4950604431482475,Chicago
"[14595.0, 18045.0)",36.892748394816074,96107,2006,M,4.533333333333333,49.02675258726208,-12.134004192446007,Chicago
"[14595.0, 18045.0)",118.51275108472636,96107,2007,M,4.533333333333333,49.02675258726208,69.48599849746428,Chicago
"[14595.0, 18045.0)",86.56544843374643,96107,2008,M,4.533333333333333,49.02675258726208,37.538695846484345,Chicago
"[14595.0, 18045.0)",39.566600959990325,96107,2009,M,4.533333333333333,49.02675258726208,-9.460151627271756,Chicago
"[14595.0, 18045.0)",78.57843560997281,96107,2010,M,4.533333333333333,49.02675258726208,29.551683022710733,Chicago
"[14595.0, 18045.0)",75.87073758723533,96107,2011,M,4.533333333333333,49.02675258726208,26.843984999973244,Chicago
"[14595.0, 18045.0)",51.29476404773885,96107,2015,M,4.533333333333333,49.02675258726208,2.268011460476771,Chicago
"[14595.0, 18045.0)",45.67801603094907,96107,2016,M,4.533333333333333,49.02675258726208,-3.348736556313014,Chicago
"[14595.0, 18045.0)",65.4031082684077,96107,2017,M,4.533333333333333,49.02675258726208,16.376355681145625,Chicago
"[14595.0, 18045.0)",40.98704015760808,96107,2018,M,4.533333333333333,49.02675258726208,-8.039712429654003,Chicago
"[14595.0, 18045.0)",29.647211513991568,96107,2019,M,4.533333333333333,49.02675258726208,-19.379541073270513,Chicago
"[18045.0, 19425.0)",-222.78615467981092,34956,1995,F,5.204166666666667,-162.89489769149625,-59.891256988314666,Grandmas
"[18045.0, 19425.0)",-177.4952350911674,34956,1997,F,5.204166666666667,-162.89489769149625,-14.600337399671133,Grandmas
"[18045.0, 19425.0)",-173.70490370267464,34956,1998,F,5.204166666666667,-162.89489769149625,-10.810006011178388,Grandmas
"[18045.0, 19425.0)",-207.94415416798358,34956,1999,F,5.204166666666667,-162.89489769149625,-45.04925647648733,Grandmas
"[18045.0, 19425.0)",-213.16272948504061,34956,2000,F,5.204166666666667,-162.89489769149625,-50.26783179354436,Grandmas
"[18045.0, 19425.0)",-151.82219041624387,34956,2001,F,5.204166666666667,-162.89489769149625,11.072707275252384,Grandmas
"[18045.0, 19425.0)",-168.15412063354444,34956,2002,F,5.204166666666667,-162.89489769149625,-5.259222942048183,Grandmas
