,event,gender,year,meantime,meantime_demeanor,meantime_demeaned,event_name
2372,4476,M,2016,171.30211267605634,10169.390350563912,1.8122734999911396,Houston
2373,4476,M,2017,169.11666666666667,10169.390350563912,-0.37317250939853086,Houston
2374,4476,M,2018,171.0984126984127,10169.390350563912,1.6085735223474937,Houston
2375,4782,F,2000,168.71666666666667,10021.551914940097,1.6908014176650492,Twin Cities
2376,4782,F,2001,166.93571428571428,10021.551914940097,-0.0901509632873361,Twin Cities
2377,4782,F,2002,171.09642857142856,10021.551914940097,4.0705633224269455,Twin Cities
2378,4782,F,2003,163.10151515151517,10021.551914940097,-3.9243500974864522,Twin Cities
2379,4782,F,2004,164.52916666666667,10021.551914940097,-2.496698582334951,Twin Cities
2380,4782,F,2005,169.668,10021.551914940097,2.6421347509983812,Twin Cities
2381,4782,F,2006,166.67777777777778,10021.551914940097,-0.3480874712238498,Twin Cities
2382,4782,F,2007,165.6,10021.551914940097,-1.4258652490016175,Twin Cities
2383,4782,F,2008,170.3761904761905,10021.551914940097,3.3503252271888715,Twin Cities
2384,4782,F,2009,166.4240740740741,10021.551914940097,-0.60179117492753,Twin Cities
2385,4782,F,2010,169.1848484848485,10021.551914940097,2.1589832358468812,Twin Cities
2386,4782,F,2011,165.1892156862745,10021.551914940097,-1.836649562727113,Twin Cities
2387,4782,F,2012,164.93846153846152,10021.551914940097,-2.087403710540093,Twin Cities
2388,4782,F,2013,165.33666666666667,10021.551914940097,-1.6891985823349387,Twin Cities
2389,4782,F,2014,166.73260869565217,10021.551914940097,-0.29325655334945017,Twin Cities
2390,4782,F,2015,165.68854166666668,10021.551914940097,-1.3373235823349507,Twin Cities
2391,4782,F,2016,168.23214285714283,10021.551914940097,1.2062776081412268,Twin Cities
2392,4782,F,2017,167.34761904761905,10021.551914940097,0.32175379861743447,Twin Cities
2393,4782,F,2018,167.88333333333333,10021.551914940097,0.8574680843317158,Twin Cities
2394,4782,F,2019,166.85833333333332,10021.551914940097,-0.16753191566828415,Twin Cities
2395,4782,M,2000,169.38865248226952,10172.719569323235,-0.1566736731177419,Twin Cities
2396,4782,M,2001,173.06493055555558,10172.719569323235,3.5196044001683124,Twin Cities
2397,4782,M,2002,169.71410256410257,10172.719569323235,0.1687764087153179,Twin Cities
2398,4782,M,2003,166.90425531914894,10172.719569323235,-2.641070836238305,Twin Cities
2399,4782,M,2004,170.84181286549708,10172.719569323235,1.2964867101098208,Twin Cities
2400,4782,M,2005,166.12545045045044,10172.719569323235,-3.419875704936809,Twin Cities
