prop_numerator,proportion,event,year,gender,bin_center,proportion_demeanor,proportion_demeaned,event_name
"[9405.0, 9465.0)",-69.31471805599453,96107,2005,F,2.620833333333333,-0.8067315142196394,-68.5079865417749,Chicago
"[9405.0, 9465.0)",91.62907318741551,96107,2010,F,2.620833333333333,-0.8067315142196394,92.43580470163515,Chicago
"[9405.0, 9465.0)",69.31471805599453,96107,2011,F,2.620833333333333,-0.8067315142196394,70.12144957021417,Chicago
"[9405.0, 9465.0)",-69.31471805599453,96107,2017,F,2.620833333333333,-0.8067315142196394,-68.5079865417749,Chicago
"[9405.0, 9465.0)",40.546510810816436,96107,2019,F,2.620833333333333,-0.8067315142196394,41.35324232503608,Chicago
"[9465.0, 9525.0)",-138.62943611198907,34956,1995,M,2.6375,-12.158195075274065,-126.471241036715,Grandmas
"[9465.0, 9525.0)",40.546510810816436,34956,1997,M,2.6375,-12.158195075274065,52.7047058860905,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,1999,M,2.6375,-12.158195075274065,-57.15652298072047,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2000,M,2.6375,-12.158195075274065,81.4729131312686,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2001,M,2.6375,-12.158195075274065,-57.15652298072047,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2002,M,2.6375,-12.158195075274065,-57.15652298072047,Grandmas
"[9465.0, 9525.0)",-109.86122886681098,34956,2003,M,2.6375,-12.158195075274065,-97.70303379153691,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2010,M,2.6375,-12.158195075274065,-57.15652298072047,Grandmas
"[9465.0, 9525.0)",91.62907318741551,34956,2011,M,2.6375,-12.158195075274065,103.78726826268958,Grandmas
"[9465.0, 9525.0)",40.546510810816436,34956,2013,M,2.6375,-12.158195075274065,52.7047058860905,Grandmas
"[9465.0, 9525.0)",28.768207245178086,34956,2014,M,2.6375,-12.158195075274065,40.926402320452155,Grandmas
"[9465.0, 9525.0)",22.314355131420978,34956,2017,M,2.6375,-12.158195075274065,34.47255020669505,Grandmas
"[9465.0, 9525.0)",28.768207245178086,34956,2018,M,2.6375,-12.158195075274065,40.926402320452155,Grandmas
"[9465.0, 9525.0)",33.64722366212129,34956,2019,M,2.6375,-12.158195075274065,45.80541873739536,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,1998,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2001,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2002,F,2.6375,4.425878037719704,-73.74059609371423,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2003,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2004,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2005,F,2.6375,4.425878037719704,-73.74059609371423,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2009,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",-40.54651081081644,34956,2011,F,2.6375,4.425878037719704,-44.97238884853615,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2012,F,2.6375,4.425878037719704,-73.74059609371423,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2014,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",69.31471805599453,34956,2015,F,2.6375,4.425878037719704,64.88884001827483,Grandmas
"[9465.0, 9525.0)",-109.86122886681098,34956,2016,F,2.6375,4.425878037719704,-114.28710690453067,Grandmas
"[9465.0, 9525.0)",-69.31471805599453,34956,2018,F,2.6375,4.425878037719704,-73.74059609371423,Grandmas
"[9465.0, 9525.0)",69.31471805599453,4476,1995,F,2.6375,45.400769004970655,23.913949051023877,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,1996,F,2.6375,45.400769004970655,23.913949051023877,Houston
"[9465.0, 9525.0)",40.546510810816436,4476,2000,F,2.6375,45.400769004970655,-4.8542581941542196,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2006,F,2.6375,45.400769004970655,23.913949051023877,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2008,F,2.6375,45.400769004970655,23.913949051023877,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2009,F,2.6375,45.400769004970655,23.913949051023877,Houston
"[9465.0, 9525.0)",-69.31471805599453,4476,2012,F,2.6375,45.400769004970655,-114.71548706096519,Houston
"[9465.0, 9525.0)",-40.54651081081644,4476,1995,M,2.6375,29.234195879858834,-69.78070669067527,Houston
"[9465.0, 9525.0)",109.86122886681098,4476,1996,M,2.6375,29.234195879858834,80.62703298695214,Houston
"[9465.0, 9525.0)",109.86122886681098,4476,1997,M,2.6375,29.234195879858834,80.62703298695214,Houston
"[9465.0, 9525.0)",40.546510810816436,4476,1998,M,2.6375,29.234195879858834,11.312314930957601,Houston
"[9465.0, 9525.0)",-69.31471805599453,4476,2000,M,2.6375,29.234195879858834,-98.54891393585336,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2001,M,2.6375,29.234195879858834,40.0805221761357,Houston
"[9465.0, 9525.0)",-28.76820724517809,4476,2002,M,2.6375,29.234195879858834,-58.00240312503692,Houston
"[9465.0, 9525.0)",109.86122886681098,4476,2003,M,2.6375,29.234195879858834,80.62703298695214,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2006,M,2.6375,29.234195879858834,40.0805221761357,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2008,M,2.6375,29.234195879858834,40.0805221761357,Houston
"[9465.0, 9525.0)",69.31471805599453,4476,2011,M,2.6375,29.234195879858834,40.0805221761357,Houston
"[9465.0, 9525.0)",-40.54651081081644,4476,2012,M,2.6375,29.234195879858834,-69.78070669067527,Houston
